Time,X,Y
16807.199999999255,451,229
16825,460,219
16840.599999999627,460,219
16857.89999999851,466,217
16874.89999999851,466,217
16892,475,219
16907.199999999255,475,219
16925.199999999255,536,155
16941,536,155
16957.799999998882,482,225
16974.799999998882,482,225
16993.89999999851,543,151
17007.39999999851,543,151
17024.39999999851,546,149
17040.599999999627,546,149
17057.89999999851,553,146
17074.699999999255,553,146
17091,556,145
17108.099999999627,556,145
17125.299999998882,558,145
17141.39999999851,558,145
17158.699999999255,566,141
17174.799999998882,566,141
17192,568,141
17208,568,141
17225.199999999255,571,141
17241.5,571,141
17258.799999998882,578,139
17274.699999999255,578,139
17291.89999999851,575,143
17308,575,143
17325.299999998882,591,137
17341.39999999851,591,137
17358.599999999627,584,141
17374.699999999255,584,141
17392,586,141
17408.099999999627,586,141
17425.299999998882,593,139
17441.39999999851,593,139
17458.699999999255,596,137
17474.799999998882,596,137
17492,595,138
17508,595,138
17525.299999998882,588,143
17541.39999999851,588,143
17558.5,591,141
17574.89999999851,591,141
17591.89999999851,592,141
17608.099999999627,592,141
17625.199999999255,579,155
17641.299999998882,579,155
17658.599999999627,587,147
17674.699999999255,587,147
17691.89999999851,602,137
17708.099999999627,602,137
17725.199999999255,600,140
17741.39999999851,600,140
17758.5,591,147
17774.699999999255,591,147
17792,581,159
17808.099999999627,581,159
17825.199999999255,593,145
17841.39999999851,593,145
17858.699999999255,604,137
17874.699999999255,604,137
17892,598,141
17909.699999999255,598,141
17925.299999998882,597,141
17941.199999999255,597,141
17958.699999999255,593,143
17974.699999999255,593,143
17992.099999999627,591,143
18008,591,143
18025.199999999255,592,141
18041.5,592,141
18058.599999999627,591,141
18074.5,591,141
18091.599999999627,588,141
18108,588,141
18125,586,141
18141.299999998882,586,141
18158.39999999851,581,143
18174.799999998882,581,143
18191.699999999255,578,143
18207.799999998882,578,143
18225.099999999627,572,145
18241.299999998882,572,145
18258.299999998882,570,144
18274.39999999851,570,144
18291.699999999255,564,145
18307.89999999851,564,145
18325.299999998882,560,145
18341.5,560,145
18358.599999999627,557,147
18374.799999998882,557,147
18392,552,147
18408,552,147
18425.099999999627,547,149
